city,country,id,latitude,longitude,name,state,zip
Kittery,US,ME118,43.0899,-70.7415,Kittery Animal Hospital and Creature Comforts LLC,ME,3904
Rye,US,NH81,42.9885,-70.8282,Lilac Groves Pampered Pups,NH,3870
Rye,US,NH140,42.9885,-70.8282,Northern New England Westie Rescue Inc,NH,3870
Stratham,US,NH31,43.0028,-70.9212,NHSPCA,NH,3885
York,US,ME158,43.1502,-70.6281,The Grateful Dog Animal Rescue,ME,3909
Newfields,US,NH105,43.0377,-70.9861,Cats 1st,NH,3856
Dover,US,NH54,43.1921,-70.8801,Cocheco Valley Humane Society,NH,3820
Brentwood,US,NH96,42.9783,-70.9666,4 Lil Paws Ferret Shelter,NH,3833
Seabrook,US,NH48,42.9002,-70.8839,All Breed Rescue and Adoption Inc.,NH,3874
Salisbury,US,MA65,42.8376,-70.8733,Merrimack River Feline Rescue Society,MA,1952
North Berwick,US,ME151,43.3043,-70.7353,Emma's Angels Rescue,ME,3906
Gonic,US,NH154,43.2759,-70.9891,"FuRRR Feline Rescue, Rehabilitation and Retirement",NH,3839
Merrimac,US,MA525,42.8335,-71.005,Safe Tails Animal Rescue,MA,1860
Wells,US,ME69,43.311,-70.5749,Safe Haven Humane Society,ME,4090
West Newbury,US,MA465,42.793,-70.9765,New England Equine Rescue North,MA,1985
Sandown,US,NH147,42.9389,-71.1662,PRONE - Papillon Rescue of the North East,NH,3873
Haverhill,US,MA265,42.7843,-71.0734,"One Tail at a Time Rescue, Inc.",MA,1830
Atkinson,US,NH75,42.8429,-71.1634,Cairn Rescue League,NH,3811
Lebanon,US,ME97,43.4104,-70.8751,Alpha Dog Rescue,ME,4027
Northwood,US,NH138,43.218,-71.2465,Mary's Dogs,NH,3261
Kennebunkport,US,ME89,43.3592,-70.4753,Lucky Pup Rescue,ME,4046
Ipswich,US,MA135,42.6829,-70.8423,Ipswich Humane Group Inc.,MA,1938
Farmington,US,NH112,43.3917,-71.0658,Voice for Animals,NH,3835
East Derry,US,NH10,42.8944,-71.2917,Greater Derry Humane Society Inc.,NH,3041
Salem,US,NH32,42.7904,-71.2182,Feline Friends,NH,3079
Salem,US,NH71,42.7904,-71.2182,Salem Animal Rescue League,NH,3079
Methuen,US,MA147,42.7272,-71.1763,MSPCA at Nevins Farm,MA,1844
Methuen,US,MA90,42.7272,-71.1763,Odd Dog Rescue,MA,1844
Gloucester,US,MA128,42.6258,-70.6665,Cape Ann Animal Aid,MA,1930
Milton Mills,US,NH50,43.5014,-70.9638,Greyhound Pets of America - Central NH Chapter,NH,3852
Andover,US,MA224,42.6487,-71.1558,Great Dog Rescue New England,MA,1810
Chichester,US,NH65,43.257332,-71.401446,Live and Let Live Farm,NH,3258
Chichester,US,NH149,43.257332,-71.401446,"Homes for Happy Dogs, Inc.",NH,3258
Manchester,US,NH67,42.9956,-71.4553,Animal Allies,NH,3105
Hathorne,US,MA477,42.5831,-70.9858,"North East Afghan Hound Rescue, Inc",MA,1937
Manchester,US,NH142,42.9667,-71.4502,All Better Pets,NH,3103
Manchester,US,NH160,42.9667,-71.4502,Darbster Foundation,NH,3103
Beverly,US,MA376,42.5611,-70.877,Friends of Beverly Animals,MA,1915
Beverly,US,MA459,42.5611,-70.877,Lucky Mutt Animal Rescue,MA,1915
Saco,US,ME136,43.5004,-70.4433,Hope Harbor Animal Society,ME,4072
Pelham,US,NH95,42.7365,-71.3243,Animal Rescue Network of New England,NH,3076
Manchester,US,NH25,42.9876,-71.4866,Friends of the Manchester Animal Shelter,NH,3102
Manchester,US,NH139,42.9876,-71.4866,For Dog's Sake,NH,3102
Peabody,US,MA41,42.5322,-70.9633,Animal Umbrella Inc.,MA,1960
Salem,US,MA171,42.5172,-70.8999,Northeast Animal Shelter,MA,1970
Salem,US,MA199,42.5172,-70.8999,PALS Animal Life Savers,MA,1970
Salem,US,MA511,42.5172,-70.8999,The Odd Cat Sanctuary,MA,1970
Bedford,US,NH03,42.9401,-71.5235,Animal Rescue League of New Hampshire,NH,3110
Tewksbury,US,MA423,42.6003,-71.2205,Blind Dog Rescue Alliance - MA,MA,1876
Marblehead,US,MA18,42.498,-70.8646,Friends of Marblehead's Abandoned Animals,MA,1945
Marblehead,US,MA370,42.498,-70.8646,Big Fluffy Dog Rescue,MA,1945
Concord,US,NH09,43.2153,-71.534,Pope Memorial SPCA of Concord Merrimack County,NH,3301
Lowell,US,MA106,42.6485,-71.3347,Lowell Humane Society,MA,1854
Franklin,US,MA74,42.4886,-70.964,Second Chance Boxer Rescue Inc.,MA,1904
Goffstown,US,NH155,43.0126,-71.5879,Granite State Paw Rescuers,NH,3045
Wakefield,US,MA142,42.5005,-71.0713,PAWS,MA,1880
Tyngsboro,US,MA33,42.6711,-71.415,Kitty Angels,MA,1879
Nashua,US,NH89,42.7689,-71.5135,Peis and Strays,NH,3063
North Billerica,US,MA284,42.5744,-71.289,Billerica Cat Care Coalition,MA,1862
Buxton,US,ME54,43.6643,-70.6035,Ferret Rescue of Maine,ME,4093
Limerick,US,ME125,43.6875,-70.7946,"New England Lab Rescue, Inc.",ME,4048
Scarborough,US,ME106,43.6066,-70.3491,Tender Touch Rescue,ME,4074
Melrose,US,MA393,42.4567,-71.0629,Melrose Humane Society,MA,2176
Woburn,US,MA343,42.4804,-71.1514,Woburn Feral Cat Coalition,MA,1888
Woburn,US,MA40,42.4804,-71.1514,House Rabbit Network,MA,1888
Nahant,US,MA447,42.4262,-70.9264,"German Shepherd Resource and Rescue Center, Inc.",MA,1908
Canterbury,US,NH33,43.3421,-71.5815,Libby's Haven for Senior Canines,NH,3224
Gilford,US,NH111,43.5475,-71.4072,Bare Paws Rescue,NH,3247
Ossipee,US,NH14,43.686,-71.1169,Lakes Region Humane Society,NH,3864
Westford,US,MA01,42.5831,-71.4399,North East Rottweiler Rescue,MA,1886
Westford,US,MA320,42.5831,-71.4399,"Forgotten Angels Shelter, Inc.",MA,1886
Westford,US,MA377,42.5831,-71.4399,Furry Tails Cat Shelter,MA,1886
Concord,US,NH39,42.8312,-71.6561,Siamese Cat Rescue Center,NH,3055
Milford,US,NH99,42.8312,-71.6561,"Sato Heart Rescue, Wilton,NH",NH,3055
Gorham,US,ME127,43.6918,-70.4442,The Pixel Fund,ME,4038
Medford,US,MA373,42.4189,-71.1096,Kitty Connection Inc,MA,2155
New Boston,US,NH119,42.9771,-71.7097,Canine Commitment NH,NH,3070
South Portland,US,ME137,43.6326,-70.2713,Helping Paws,ME,4106
South Portland,US,ME159,43.6326,-70.2713,Pittie Posse Rescue and Sanctuary,ME,4106
Westbrook,US,ME130,43.6769,-70.3717,Fetching Hope Rescue,ME,4098
Lexington,US,MA424,42.4457,-71.2314,Northeast Coonhound Rescue,MA,2420
Westbrook,US,ME107,43.6819,-70.3574,Yankee Chihuahua Rescue and Adopt,ME,4092
Westbrook,US,ME19,43.6819,-70.3574,"IMPS - Internet Miniature Pinscher Service, Inc.",ME,4092
Arlington,US,MA293,42.4186,-71.1643,"Whiskers of Hope, Inc.",MA,2474
Winthrop,US,MA292,42.3746,-70.9825,MassPAWS,MA,2152
Hopkinton,US,NH157,43.2143,-71.7175,Kast Hill Farm,NH,3229
Portland,US,ME80,43.6615,-70.294,Maine Sheltie Rescue,ME,4102
Somerville,US,MA09,42.3893,-71.0915,Happy Tails Pet Rescue,MA,2145
Somerville,US,MA378,42.3893,-71.0915,Black Cat Rescue,MA,2145
Weare,US,NH42,43.0452,-71.7475,WAG - We Are Animal Guardians,NH,3281
Portland,US,ME139,43.6614,-70.2558,Friends of Willow,ME,4104
Boston,US,MA484,42.3664,-71.0557,Last Hope K9 Rescue,MA,2113
Portland,US,ME114,43.689,-70.2852,Thistle Hill,ME,4103
Portland,US,ME126,43.689,-70.2852,Buddy Up Animal Society,ME,4103
Portland,US,ME146,43.689,-70.2852,The Green Ark,ME,4103
Franklin,US,NH52,43.4419,-71.6418,Franklin Animal Shelter,NH,3235
Boston,US,MA13,42.3492,-71.0739,Animal Rescue League of Boston,MA,2116
Waltham,US,MA190,42.3878,-71.2422,The Cat Connection,MA,2453
Boston,US,MA44,42.3507,-71.1539,Ellen M. Gifford Sheltering Home,MA,2135
Boxborough,US,MA501,42.4861,-71.5125,"Cavalier Alliance for Rescue, Research, and Education, Inc.",MA,1719
Boston,US,MA38,42.3111,-71.1124,MSPCA Boston Animal Care and Adoption Center,MA,2130
Jamaica Plain,US,MA77,42.3111,-71.1124,Second Chance Shelter for Cats,MA,2130
Falmouth,US,ME77,43.7523,-70.2772,Paws and Claws New England,ME,4105
Falmouth,US,ME87,43.7523,-70.2772,Mainely Rat Rescue,ME,4105
Hillsboro,US,NH74,43.0839,-71.8609,For The Love of Dog,NH,3244
Hull,US,MA137,42.2645,-70.8621,Hull Seaside Animal Rescue,MA,2045
Hull,US,MA487,42.2645,-70.8621,Survivor Tails Animal Rescue,MA,2045
Greenfield,US,NH01,42.9503,-71.8764,Cocker Spaniel Rescue of New England,NH,3047
Boston,US,MA94,42.2844,-71.1293,City of Boston Animal Shelter,MA,2131
Roslindale,US,MA506,42.2844,-71.1293,Boston's Forgotten Felines,MA,2131
Quincy,US,MA161,42.2507,-71.0018,Eskies Online American Eskimo Dog Rescue,MA,2169
Quincy,US,MA54,42.2507,-71.0018,Quincy Animal Shelter,MA,2169
Sudbury,US,MA04,42.3835,-71.4286,Save A Dog,MA,1776
Wayland,US,MA385,42.3455,-71.3599,"Guardian Angels Cat Rescue, Inc.",MA,1778
Wayland,US,MA45,42.3455,-71.3599,"German Shepherd Rescue of New England, Inc.",MA,1778
Wellesley,US,MA14,42.308,-71.2854,Stray Pets In Need of MA inc. (SPIN),MA,2181
Lunenburg,US,MA11,42.585,-71.7292,The Pat Brody Shelter for Cats,MA,1462
Cumberland,US,ME26,43.8104,-70.2567,Homeless Animal Rescue Team (HART),ME,4021
Scituate,US,MA85,42.2046,-70.7513,Scituate Animal Shelter,MA,2066
Dedham,US,MA432,42.2438,-71.1654,Shultz's Guest House,MA,2026
Braintree,US,MA275,42.21,-70.99,Massachusetts Humane Society Inc.,MA,2185
Braintree,US,MA317,42.21,-70.99,South Shore Humane Society,MA,2185
Braintree,US,MA390,42.2102,-70.9999,"Rescue Angels, Inc.",MA,2184
Yarmouth,US,ME152,43.8116,-70.2012,Old Dogs New Digs,ME,4096
Natick,US,MA219,42.2906,-71.353,"All Dog Rescue, Inc.",MA,1760
Hudson,US,MA208,42.3911,-71.5588,CaRMaH (Cat Rescue of Marlborough and Hudson),MA,1749
Framingham,US,MA272,42.3025,-71.4236,PittieLove Rescue Inc.,MA,1701
Randolph,US,MA138,42.1732,-71.0494,Hilltop Humane Society,MA,2368
Randolph,US,MA513,42.1732,-71.0494,Paws4Survival Rescue Inc.,MA,2368
Framingham,US,MA494,42.28,-71.4164,Wildheart Canine Rescue,MA,1702
Norwood,US,MA104,42.1867,-71.2027,Neponset Valley Humane Society,MA,2062
Holbrook,US,MA458,42.1472,-71.0112,Bessy's Place Cat Sanctuary & Cat Adoption,MA,2343
Canton,US,MA454,42.1658,-71.1344,"CAT CANTON RESCUE, Inc.",MA,2021
Freeport,US,ME53,43.8512,-70.1207,Tall Tails Beagle Rescue,ME,4032
Freeport,US,ME78,43.8512,-70.1207,Journey Home Dog Rescue,ME,4032
Marshfield,US,MA358,42.107,-70.6953,"IMPS - Internet Miniature Pinscher Service, Inc. - New England region",MA,2050
Avon,US,MA495,42.1245,-71.0452,Marty's Cat Rescue,MA,2322
Medfield,US,MA368,42.1816,-71.3036,Forever Home Rescue New England,MA,2052
Medfield,US,MA57,42.1816,-71.3036,A Medfield Animal Shelter,MA,2052
Jaffrey,US,NH68,42.8312,-72.0674,Monadnock Kitty Rescue and Adoption,NH,3452
Sterling,US,MA131,42.414,-71.7925,Animal Shelter Inc.,MA,1564
Sterling,US,MA86,42.414,-71.7925,NEADY Cats Inc.,MA,1564
Brockton,US,MA409,42.0811,-71.0255,Animal Protection Center of Southeastern MA,MA,2301
Brockton,US,MA464,42.0811,-71.0255,Cat Lovers Rescue,MA,2302
Hopkinton,US,MA141,42.226,-71.5195,Baypath Humane Society of Hopkinton Inc.,MA,1748
